Track Name,Track Number,Album Name,Artist Name
Glock,1,Glock,Angershade
Hex,2,Arete,Angershade
Envy,3,Arete,Angershade
Isolation,4,Arete,Angershade
Envy (Reinterpreted),5,Arete,Angershade
Hex (Prognosticator Mix),1,Hex (Prognosticator Mix),Angershade
Isolation (Remastered 22),1,The Isolation Sessions,Angershade
Isolation - The Malefic Possession - Part I Pt. I (The Changeling) ,2,The Isolation Sessions,Angershade
Isolation - The Malefic Possession - Part II (,3,The Isolation Sessions,Angershade
Isolation - Heroin Hotel,4,The Isolation Sessions,Angershade
Isolation - Live Demo,5,The Isolation Sessions,Angershade
The Sample sessions- 9-30-2018 @ 10.10PM,8,The Isolation Sessions,Angershade
Adept (Ascendant Mix),6,The Isolation Sessions,Angershade
The Changeling (Draft 1),7,The Isolation Sessions,Angershade
Intro,1,Arete (Remastered),Angershade
Adept (Remastered),2,Arete (Remastered),Angershade
Hex (Remastered),3,Arete (Remastered),Angershade
Envy (Remastered),4,Arete (Remastered),Angershade
Isolation (Remastered),5,Arete (Remastered),Angershade
Envy (Reinterpreted) (Remastered),6,Arete (Remastered),Angershade
Hex (Prognosticator Mix),7,Arete (Remastered),Angershade
Envy (Suicided Mix 1 VIP),8,Arete (Remastered),Angershade
Isolation Heroin Hotel (Limits Exceeded Mix),9,Arete (Remastered),Angershade
Hex (Dark Mix Demo),10,Arete (Remastered),Angershade
Envy (Tight Mix Demo),11,Arete (Remastered),Angershade
Adept (The Inept Offensive),12,Arete (Remastered),Angershade
Lovesong,1,Lovesong,The Corruptive
Adept,1,Arete,Angershade
Hex (Remastered),1,The Hex Sessions,Angershade
Hex The Dark Mix Demo,2,The Hex Sessions,Angershade
Hex The Diviner Mix,3,The Hex Sessions,Angershade
Hex Slammed Mix Brian Yegge Remix,4,The Hex Sessions,Angershade
Hex (Prognosticator Mix),5,The Hex Sessions,Angershade
Hex The Obstinate Mix ,6,The Hex Sessions,Angershade
Hex Just the Witches Stripped,7,The Hex Sessions,Angershade
Envy Reinterpreted - Remastered,1,The Envy Sessions,Angershade
Envy - Remastered,2,The Envy Sessions,Angershade
Envy Full Suicided Version VIP Mix,3,The Envy Sessions,Angershade
Envy Tight Mix,4,The Envy Sessions,Angershade
Envy Meditative Mix,5,The Envy Sessions,Angershade
ADEPT Glitter Fairies Edition,6,The Envy Sessions,Angershade
Envy No Strings Attached ,7,The Envy Sessions,Angershade